"3","II. WHAT INFORMATION DO WE GATHER-   PBS collects two types of information from visitors to the Site: (A) Personally Identifiable Information, and (B) Non-personally Identifiable Information (information such as IP Addresses and cookies, which allow for a better use of the Site). Uses of this information are discussed in Section III.  ","Does","First Party Collection/Use"
"3","II. WHAT INFORMATION DO WE GATHER-   PBS collects two types of information from visitors to the Site: (A) Personally Identifiable Information, and (B) Non-personally Identifiable Information (information such as IP Addresses and cookies, which allow for a better use of the Site). Uses of this information are discussed in Section III.  ","Does","First Party Collection/Use"
"4","A. Personally Identifiable Information   PBS will not collect personally identifiable information from you, other than what you supply to us on a voluntary basis upon request. Personally identifiable information includes, but is not limited to, name, address, e-mail address, telephone number, and credit card information.  ","Does","First Party Collection/Use"
"4","A. Personally Identifiable Information   PBS will not collect personally identifiable information from you, other than what you supply to us on a voluntary basis upon request. Personally identifiable information includes, but is not limited to, name, address, e-mail address, telephone number, and credit card information.  ","Does Not","First Party Collection/Use"
"5","Registration for our website :   Our Site may at times require a free registration, which enables full access to the information and resources offered on our Site. A unique email address must be supplied to register.  ","Does","First Party Collection/Use"
"6","Paid Products and Services :   While the majority of our Site is free, we may charge fees for select products and services. To enable the purchase of these and other products, we collect your telephone number, e-mail address, billing address and credit card information.  ","Does","First Party Collection/Use"
"6","Paid Products and Services :   While the majority of our Site is free, we may charge fees for select products and services. To enable the purchase of these and other products, we collect your telephone number, e-mail address, billing address and credit card information.  ","Does","First Party Collection/Use"
"7","Support of Member Stations and other public broadcasting entities :   On certain pages within the Site, PBS may offer visitors the opportunity to make a donation in support of public broadcasting entities, programs and series, or to order products, subscriptions or other services offered by PBS Member Stations. If a visitor chooses to make a donation or order such other products or services, PBS will collect and store your telephone number, e-mail address, billing address and credit card information.  ","Does","First Party Collection/Use"
"7","Support of Member Stations and other public broadcasting entities :   On certain pages within the Site, PBS may offer visitors the opportunity to make a donation in support of public broadcasting entities, programs and series, or to order products, subscriptions or other services offered by PBS Member Stations. If a visitor chooses to make a donation or order such other products or services, PBS will collect and store your telephone number, e-mail address, billing address and credit card information.  ","Does","First Party Collection/Use"
"8","Forums, Feedback and Content Submissions :   On some pages of the Site, you can submit content to be published, make community postings, comments, suggestions, and vote. We may collect name, address, and e-mail addresses in connection with these activities.  ","Does","First Party Collection/Use"
"9","Your submission of others' Personally Identifiable Information :   On some pages of the Site, you can submit information about other people. For example, you may submit a person's name and email address to send an article. Additionally, you may purchase a gift online and submit the person's name, address and telephone number for delivery. This information will only be used for the stated purpose.  ","Does","First Party Collection/Use"
"10","Contests, Sweepstakes and Special Offers :   On occasion, we may collect personal information from users in connection with optional (i.e., you opt-in to participate in these offers) sweepstakes, contests or special offers. Such information will be used as indicated at the time of collection.  ","Does","First Party Collection/Use"
"11","Listservs and E-mail Newsletters:   On occasion, we may collect personal information from users in connection with optional (i.e. you opt-in to subscribe to these services) listservs and e-mail newsletters. Such information will be used as indicated at the time of collection.  ","Does","First Party Collection/Use"
"12"," B. Non-personally Identifiable Information    In addition to information that you provide to us, we may also collect and store certain non-personally identifiable information automatically when using the Site. This information helps us improve the experience you and other visitors have with the Site.  ","Does","First Party Collection/Use"
